from	to	source	database
Vegfc	Flt4	ramilowski_known	ramilowski
Vegfc	Kdr	ramilowski_known	ramilowski
Vegfc	Nrp2	ramilowski_known	ramilowski
Vegfc	Vipr2	ramilowski_known	ramilowski
Vip	Adcyap1r1	ramilowski_known	ramilowski
Vip	Sctr	ramilowski_known	ramilowski
Vip	Vipr1	ramilowski_known	ramilowski
Vip	Vipr2	ramilowski_known	ramilowski
Vtn	Itga5	ramilowski_known	ramilowski
Vtn	Itgb3	ramilowski_known	ramilowski
Wnt11	Fzd7	ramilowski_known	ramilowski
Wnt1	Fzd3	ramilowski_known	ramilowski
Wnt1	Fzd8	ramilowski_known	ramilowski
Wnt1	Fzd9	ramilowski_known	ramilowski
Wnt1	Ryk	ramilowski_known	ramilowski
Wnt3a	Fzd6	ramilowski_known	ramilowski
Wnt3	Fzd8	ramilowski_known	ramilowski
Wnt3	Lrp6	ramilowski_known	ramilowski
Wnt3	Ryk	ramilowski_known	ramilowski
Wnt4	Fzd2	ramilowski_known	ramilowski
Wnt4	Fzd6	ramilowski_known	ramilowski
Wnt5a	Fzd2	ramilowski_known	ramilowski
Wnt5a	Fzd4	ramilowski_known	ramilowski
Wnt5a	Fzd6	ramilowski_known	ramilowski
Wnt5a	Fzd7	ramilowski_known	ramilowski
Wnt5a	Ryk	ramilowski_known	ramilowski
Wnt7a	Fzd5	ramilowski_known	ramilowski
Wnt7b	Fzd1	ramilowski_known	ramilowski
Wnt7b	Fzd10	ramilowski_known	ramilowski
Wnt7b	Lrp5	ramilowski_known	ramilowski
Xcl1	Xcr1	ramilowski_known	ramilowski
Yars	Cxcr1	ramilowski_known	ramilowski
Zp3	Mertk	ramilowski_known	ramilowski
Ccl4	Ccr5	kegg_cytokines	kegg
Pdgfd	Pdgfrb	kegg_cytokines	kegg
Ifna1	Ifnar2	kegg_cytokines	kegg
Ifna1	Ifnar1	kegg_cytokines	kegg
H2-Ea-ps	Cd4	kegg_cams	kegg
Gm7030	Cd8a	kegg_cams	kegg
Icosl	Icos	kegg_cams	kegg
Nrxn1	Nlgn1	kegg_cams	kegg
Spn	Siglec1	kegg_cams	kegg
Icosl	Cd28	kegg_cams	kegg
Icosl	Ctla4	kegg_cams	kegg
Gh	Ghr	kegg_neuroactive	kegg
Col2a1	Itgb1	kegg_ecm	kegg
Col2a1	Itga1	kegg_ecm	kegg
Lama1	Itgb1	kegg_ecm	kegg
Lama1	Itga1	kegg_ecm	kegg
Col2a1	Itga2	kegg_ecm	kegg
Lama1	Itga2	kegg_ecm	kegg
Lama1	Itga3	kegg_ecm	kegg
Col2a1	Itga3	kegg_ecm	kegg
Lama1	Itga6	kegg_ecm	kegg
Lama1	Itga7	kegg_ecm	kegg
Npnt	Itgb1	kegg_ecm	kegg
Npnt	Itga8	kegg_ecm	kegg
Col2a1	Itga9	kegg_ecm	kegg
Lama1	Itga9	kegg_ecm	kegg
Col2a1	Itga10	kegg_ecm	kegg
Col2a1	Itga11	kegg_ecm	kegg
Col2a1	Itgav	kegg_ecm	kegg
Col2a1	Itgb8	kegg_ecm	kegg
Lama1	Itgav	kegg_ecm	kegg
Lama1	Itgb8	kegg_ecm	kegg
Lama1	Itgb4	kegg_ecm	kegg
Col2a1	Cd44	kegg_ecm	kegg
Lama1	Cd44	kegg_ecm	kegg
Col2a1	Sdc1	kegg_ecm	kegg
Lama1	Sv2a	kegg_ecm	kegg
Col2a1	Gp6	kegg_ecm	kegg
Lama1	Dag1	kegg_ecm	kegg
Ccl5	Sdc4	ppi_lr	ppi_prediction
Edn2	Ednrb	ppi_lr	ppi_prediction
Csf2	Sdc2	ppi_lr	ppi_prediction
Lama1	Gpc1	ppi_lr	ppi_prediction
Tdgf1	Gpc1	ppi_lr	ppi_prediction
Wnt3	Fzd1	ppi_lr	ppi_prediction
Nrg1	Gpc1	ppi_lr	ppi_prediction
Dkk1	Lrp5	ppi_lr	ppi_prediction
Lama1	Sdc4	ppi_lr	ppi_prediction
Ccl5	Sdc1	ppi_lr	ppi_prediction
Calr	Tshr	ppi_lr	ppi_prediction
Wnt1	Fzd1	ppi_lr	ppi_prediction
Ccl26	Ccr1	ppi_lr	ppi_prediction
Camp	Igf1r	ppi_lr	ppi_prediction
Rspo2	Jmjd6	ppi_lr	ppi_prediction
Btc	Erbb2	ppi_lr	ppi_prediction
Ctgf	Fgfr3	ppi_lr	ppi_prediction
Il6	Hrh1	ppi_lr	ppi_prediction
Ctgf	Fgfr2	ppi_lr	ppi_prediction
Gdf9	Kit	ppi_lr	ppi_prediction
Ccl3	Cxcr5	ppi_lr	ppi_prediction
Ccl3	Ccr3	ppi_lr	ppi_prediction
Tnf	Traf2	ppi_lr	ppi_prediction
Ccl7	Ackr4	ppi_lr	ppi_prediction
Fgf6	Fgfr3	ppi_lr	ppi_prediction
Efna5	Ephb1	ppi_lr	ppi_prediction
Fgf2	Sdc1	ppi_lr	ppi_prediction
Egf	Erbb3	ppi_lr	ppi_prediction
Hgf	Sdc1	ppi_lr	ppi_prediction
Ccl19	Ackr2	ppi_lr	ppi_prediction
Wnt1	Lrp5	ppi_lr	ppi_prediction
Cntf	Il6ra	ppi_lr	ppi_prediction
Ctgf	Lrp1	ppi_lr	ppi_prediction
Ccl3	Ackr2	ppi_lr	ppi_prediction
Ccl3	Ccr4	ppi_lr	ppi_prediction
Ctgf	Erbb4	ppi_lr	ppi_prediction
Pdgfb	Lrp1	ppi_lr	ppi_prediction
Ccl21a	Ackr2	ppi_lr	ppi_prediction
Hbegf	Cd44	ppi_lr	ppi_prediction
Apob	Lrp2	ppi_lr	ppi_prediction
Ins2	Lrp2	ppi_lr	ppi_prediction
Efnb2	Epha3	ppi_lr	ppi_prediction
Ins2	Igf1r	ppi_lr	ppi_prediction
Iapp	Ramp1	ppi_lr	ppi_prediction
Arf1	Insr	ppi_lr	ppi_prediction
Gm13306	Ackr2	ppi_lr	ppi_prediction
Ccl25	Ackr2	ppi_lr	ppi_prediction
Lama2	Dag1	ppi_lr	ppi_prediction
Ccl19	Ccr10	ppi_lr	ppi_prediction
Egf	Erbb2	ppi_lr	ppi_prediction
Fgf2	Sdc3	ppi_lr	ppi_prediction
Ccl28	Ackr2	ppi_lr	ppi_prediction
Ghrl	Ghrhr	ppi_lr	ppi_prediction
Ccl7	Ccr10	ppi_lr	ppi_prediction
Vegfd	Nrp1	ppi_lr	ppi_prediction
Vegfd	Nrp2	ppi_lr	ppi_prediction
Apob	Calcr	ppi_lr	ppi_prediction
Wnt1	Ror2	ppi_lr	ppi_prediction
Ctgf	Egfr	ppi_lr	ppi_prediction
Pdgfb	Nrp1	ppi_lr	ppi_prediction
Efnb2	Epha5	ppi_lr	ppi_prediction
Efnb2	Sdc2	ppi_lr	ppi_prediction
Dkk1	Kit	ppi_lr	ppi_prediction
Fgf1	Gpc1	ppi_lr	ppi_prediction
Fgf1	Sdc4	ppi_lr	ppi_prediction
Fgf1	Sdc2	ppi_lr	ppi_prediction
Dlk1	Fgfr1	ppi_lr	ppi_prediction
Wnt3	Traf2	ppi_lr	ppi_prediction
Tnf	Dag1	ppi_lr	ppi_prediction
Tnf	Ptprs	ppi_lr	ppi_prediction
Tnf	Neo1	ppi_lr	ppi_prediction
Gstp2	Ntrk1	ppi_lr	ppi_prediction
Rtn4	Ntrk1	ppi_lr	ppi_prediction
Calr	Ntrk1	ppi_lr	ppi_prediction
Insl3	Alk	ppi_lr	ppi_prediction
Efnb2	Sdc1	ppi_lr	ppi_prediction
Il12b	Il23r	ppi_lr	ppi_prediction
Hbegf	Erbb2	ppi_lr	ppi_prediction
Fgf2	Gpc1	ppi_lr	ppi_prediction
Hbegf	Prlr	ppi_lr	ppi_prediction
Prl	Erbb4	ppi_lr	ppi_prediction
Epo	Kit	ppi_lr	ppi_prediction
Nrg4	Egfr	ppi_lr	ppi_prediction
Fgf23	Fgfr3	ppi_lr	ppi_prediction
Areg	Erbb2	ppi_lr	ppi_prediction
Ereg	Erbb2	ppi_lr	ppi_prediction
Nrg2	Erbb2	ppi_lr	ppi_prediction
Il6	Erbb2	ppi_lr	ppi_prediction
Efnb2	Lrp6	ppi_lr	ppi_prediction
Efnb2	Fzd6	ppi_lr	ppi_prediction
Efnb2	Epha2	ppi_lr	ppi_prediction
Efnb2	Insr	ppi_lr	ppi_prediction
Efnb2	Ror2	ppi_lr	ppi_prediction
Efnb2	Fzd5	ppi_lr	ppi_prediction
Efnb2	Lrp8	ppi_lr	ppi_prediction
Jag2	Fzd6	ppi_lr	ppi_prediction
Jag2	Epha2	ppi_lr	ppi_prediction
Jag2	Insr	ppi_lr	ppi_prediction
Jag2	Ror2	ppi_lr	ppi_prediction
Jag2	Fzd5	ppi_lr	ppi_prediction
Jag2	Lrp8	ppi_lr	ppi_prediction
Efnb1	Fzd5	ppi_lr	ppi_prediction
Efnb1	Lrp8	ppi_lr	ppi_prediction
Anxa1	Epha5	ppi_lr	ppi_prediction
Ndp	Lrp5	ppi_lr	ppi_prediction
Rtn4	Ror2	ppi_lr	ppi_prediction
Efnb2	Unc5c	ppi_lr	ppi_prediction
Efnb2	Lrp2	ppi_lr	ppi_prediction
Jag2	Lrp2	ppi_lr	ppi_prediction
Efnb1	Lrp2	ppi_lr	ppi_prediction
Lamb1	Sdc2	ppi_lr	ppi_prediction
Lamb1	Sdc1	ppi_lr	ppi_prediction
Trf	Sdc1	ppi_lr	ppi_prediction
Arf1	Fas	ppi_lr	ppi_prediction
Apob	Erbb2	ppi_lr	ppi_prediction
Apob	Egfr	ppi_lr	ppi_prediction
Apob	Ptprf	ppi_lr	ppi_prediction
Apob	Met	ppi_lr	ppi_prediction
Calr	Fas	ppi_lr	ppi_prediction
Uts2	Fas	ppi_lr	ppi_prediction
Lamb1	Fas	ppi_lr	ppi_prediction
Anxa1	Hmmr	ppi_lr	ppi_prediction
Arf1	Mylk	ppi_lr	ppi_prediction
Arf1	Lrp5	ppi_lr	ppi_prediction
Arf1	Hmmr	ppi_lr	ppi_prediction
Gstp2	Mylk	ppi_lr	ppi_prediction
Gstp2	Lrp5	ppi_lr	ppi_prediction
Gstp2	Fas	ppi_lr	ppi_prediction
Gstp2	Hmmr	ppi_lr	ppi_prediction
Calr	Lrp5	ppi_lr	ppi_prediction
Calr	Hmmr	ppi_lr	ppi_prediction
Anxa1	Lifr	ppi_lr	ppi_prediction
Anxa1	Ddr2	ppi_lr	ppi_prediction
Efnb2	Epha7	ppi_lr	ppi_prediction
Jag2	Epha7	ppi_lr	ppi_prediction
Rtn4	Epha2	ppi_lr	ppi_prediction
Rtn4	Fzd6	ppi_lr	ppi_prediction
Rtn4	Epha7	ppi_lr	ppi_prediction
Efnb1	Epha7	ppi_lr	ppi_prediction
Arf1	Cd44	ppi_lr	ppi_prediction
Calr	Cd44	ppi_lr	ppi_prediction
Igf1	Insr	ppi_lr	ppi_prediction
Epgn	Erbb4	ppi_lr	ppi_prediction
Pdgfc	Pdgfrb	ppi_lr	ppi_prediction
App	Tgfbr2	ppi_lr	ppi_prediction
F2	Lrp1	ppi_lr	ppi_prediction
Wnt5a	Lrp6	ppi_lr	ppi_prediction
Wnt4	Lrp6	ppi_lr	ppi_prediction
Wnt1	Lrp6	ppi_lr	ppi_prediction
Wnt11	Lrp6	ppi_lr	ppi_prediction
Wnt3a	Lrp6	ppi_lr	ppi_prediction
Wnt7a	Lrp6	ppi_lr	ppi_prediction
Psen1	Notch1	ppi_lr	ppi_prediction
Wnt1	Notch1	ppi_lr	ppi_prediction
Adam17	Notch1	ppi_lr	ppi_prediction
Rspo2	Sdc4	ppi_lr	ppi_prediction
Rspo3	Sdc4	ppi_lr	ppi_prediction
Ereg	Erbb3	ppi_lr	ppi_prediction
Tnfsf14	Traf2	ppi_lr	ppi_prediction
Wnt5a	Fzd5	ppi_lr	ppi_prediction
Adam17	Il1r2	ppi_lr	ppi_prediction
Gzmb	Fgfr1	ppi_lr	ppi_prediction
Il22	Il20ra	ppi_lr	ppi_prediction
Wnt5a	Fzd3	ppi_lr	ppi_prediction
Wnt5a	Ror2	ppi_lr	ppi_prediction
Wnt4	Lrp5	ppi_lr	ppi_prediction
Wnt4	Fzd3	ppi_lr	ppi_prediction
Csf3	Csf2ra	ppi_lr	ppi_prediction
Il22	Ifnar2	ppi_lr	ppi_prediction
Csf1	Csf3r	ppi_lr	ppi_prediction
Ccl12	Ackr4	ppi_lr	ppi_prediction
Tdgf1	Acvr1b	ppi_lr	ppi_prediction
Wnt1	Fzd6	ppi_lr	ppi_prediction
Wnt3a	Lrp5	ppi_lr	ppi_prediction
Wnt7a	Lrp5	ppi_lr	ppi_prediction
Csf1	Csf2ra	ppi_lr	ppi_prediction
Wnt11	Fzd3	ppi_lr	ppi_prediction
Wnt11	Fzd6	ppi_lr	ppi_prediction
Wnt11	Musk	ppi_lr	ppi_prediction
Ptn	Alk	ppi_lr	ppi_prediction
Wnt3a	Fzd3	ppi_lr	ppi_prediction
Wnt7a	Fzd3	ppi_lr	ppi_prediction
Wnt3	Fzd3	ppi_lr	ppi_prediction
Wnt7b	Fzd3	ppi_lr	ppi_prediction
Ihh	Ptch2	ppi_lr	ppi_prediction
Shh	Ptch2	ppi_lr	ppi_prediction
Ccl26	Ccr5	ppi_lr	ppi_prediction
Dhh	Ptch1	ppi_lr	ppi_prediction
Adam17	Il6ra	ppi_lr	ppi_prediction
Plg	F2rl1	ppi_lr	ppi_prediction
Wnt3a	Fzd8	ppi_lr	ppi_prediction
Wnt3a	Fzd1	ppi_lr	ppi_prediction
Wnt3a	Ryk	ppi_lr	ppi_prediction
Wnt3a	Fzd2	ppi_lr	ppi_prediction
Ccl26	Cx3cr1	ppi_lr	ppi_prediction
Wnt7a	Fzd7	ppi_lr	ppi_prediction
Mdk	Notch2	ppi_lr	ppi_prediction
Il10	Ifnar2	ppi_lr	ppi_prediction
Penk	Oprl1	ppi_lr	ppi_prediction
Cntf	Crlf1	ppi_lr	ppi_prediction
Edn1	Ednrb	ppi_lr	ppi_prediction
Calm1	Calcr	ppi_lr	ppi_prediction
Tgfb1	Itgb6	ppi_lr	ppi_prediction
Vtn	Itgb6	ppi_lr	ppi_prediction
Tgfa	Erbb4	ppi_lr	ppi_prediction
Adam17	Erbb4	ppi_lr	ppi_prediction
Mdk	Lrp2	ppi_lr	ppi_prediction
Plau	Lrp2	ppi_lr	ppi_prediction
Apoe	Lrp2	ppi_lr	ppi_prediction
Serpine1	Lrp2	ppi_lr	ppi_prediction
Lrpap1	Lrp2	ppi_lr	ppi_prediction
Tgfb1	Erbb2	ppi_lr	ppi_prediction
Tgfa	Erbb2	ppi_lr	ppi_prediction
Angpt2	Itga5	ppi_lr	ppi_prediction
Col1a1	Itga5	ppi_lr	ppi_prediction
App	Sdc1	ppi_lr	ppi_prediction
App	Lrp1	ppi_lr	ppi_prediction
App	Kdr	ppi_lr	ppi_prediction
App	Ncstn	ppi_lr	ppi_prediction
App	Ngfr	ppi_lr	ppi_prediction
App	Prokr1	ppi_lr	ppi_prediction
App	Gpc1	ppi_lr	ppi_prediction
Kng1	Rxfp4	ppi_lr	ppi_prediction
Spp1	Sdc1	ppi_lr	ppi_prediction
Ctsg	Sdc1	ppi_lr	ppi_prediction
Calr	Lrp1	ppi_lr	ppi_prediction
Thbs1	Lrp1	ppi_lr	ppi_prediction
Ctsg	Lrp1	ppi_lr	ppi_prediction
Wnt3a	Lrp1	ppi_lr	ppi_prediction
Mdk	Lrp1	ppi_lr	ppi_prediction
Apoe	Lrp1	ppi_lr	ppi_prediction
Tgfb1	Sdc2	ppi_lr	ppi_prediction
Hgf	Sdc2	ppi_lr	ppi_prediction
Pf4	Sdc2	ppi_lr	ppi_prediction
Serpinc1	Sdc2	ppi_lr	ppi_prediction
Serpina1a	Sdc2	ppi_lr	ppi_prediction
Tnfsf13	Sdc2	ppi_lr	ppi_prediction
Hsp90b1	Tnfrsf1b	ppi_lr	ppi_prediction
Calm1	Tnfrsf1b	ppi_lr	ppi_prediction
Fga	Itgb3	ppi_lr	ppi_prediction
Gzmb	Notch1	ppi_lr	ppi_prediction
Calm1	Htr2c	ppi_lr	ppi_prediction
Calr	Mtnr1a	ppi_lr	ppi_prediction
Csf2	Il3ra	ppi_lr	ppi_prediction
Mdk	Sdc4	ppi_lr	ppi_prediction
Tgfb3	Sdc4	ppi_lr	ppi_prediction
Psen1	Notch4	ppi_lr	ppi_prediction
Psen1	Notch3	ppi_lr	ppi_prediction
Psen1	Notch2	ppi_lr	ppi_prediction
Fn1	Tshr	ppi_lr	ppi_prediction
Fn1	Itgb5	ppi_lr	ppi_prediction
Fn1	Mtnr1a	ppi_lr	ppi_prediction
Mmp9	Cd44	ppi_lr	ppi_prediction
Mmp9	Ephb2	ppi_lr	ppi_prediction
Fga	Itga2b	ppi_lr	ppi_prediction
F2	Itga2b	ppi_lr	ppi_prediction
Col2a1	Itga2b	ppi_lr	ppi_prediction
Tnfsf9	Traf2	ppi_lr	ppi_prediction
Tnfsf4	Traf2	ppi_lr	ppi_prediction
Calm1	Traf2	ppi_lr	ppi_prediction
Col2a1	Ddr1	ppi_lr	ppi_prediction
Ppbp	Il7r	ppi_lr	ppi_prediction
Tnf	Ptprz1	ppi_lr	ppi_prediction
Ccl22	Ccr7	ppi_lr	ppi_prediction
Gdf9	Acvr2a	ppi_lr	ppi_prediction
Fgf7	Fgfr3	ppi_lr	ppi_prediction
Fgf7	Fgfr4	ppi_lr	ppi_prediction
Wnt5a	Fzd1	ppi_lr	ppi_prediction
Wnt1	Cd36	ppi_lr	ppi_prediction
Col1a1	Cd36	ppi_lr	ppi_prediction
Calm1	Fas	ppi_lr	ppi_prediction
Tnfsf13	Fas	ppi_lr	ppi_prediction
Ntn1	Neo1	ppi_lr	ppi_prediction
Ccl3	Ackr4	ppi_lr	ppi_prediction
Ctsg	Cxcr4	ppi_lr	ppi_prediction
Tgfb1	Bmpr1a	ppi_lr	ppi_prediction
Gdf9	Bmpr1a	ppi_lr	ppi_prediction
Vtn	Plaur	ppi_lr	ppi_prediction
Kng1	Plaur	ppi_lr	ppi_prediction
Ccl12	Ccr10	ppi_lr	ppi_prediction
Tdgf1	Acvr1c	ppi_lr	ppi_prediction
Ccl2	Ackr4	ppi_lr	ppi_prediction
Ccl11	Ackr4	ppi_lr	ppi_prediction
Ccl8	Ackr4	ppi_lr	ppi_prediction
Cxcl13	Ackr4	ppi_lr	ppi_prediction
Ccl5	Ackr4	ppi_lr	ppi_prediction
Ccl4	Ackr4	ppi_lr	ppi_prediction
Efna1	Ephb1	ppi_lr	ppi_prediction
Epo	Ephb4	ppi_lr	ppi_prediction
Tgfb1	Itgav	ppi_lr	ppi_prediction
Tgfb1	Itgb8	ppi_lr	ppi_prediction
Pros1	Rpsa	ppi_lr	ppi_prediction
Tnfsf13	Tnfrsf1a	ppi_lr	ppi_prediction
Calm1	Tnfrsf1a	ppi_lr	ppi_prediction
Ccl5	Cxcr5	ppi_lr	ppi_prediction
Ccl4	Cxcr5	ppi_lr	ppi_prediction
Ptn	Ptprs	ppi_lr	ppi_prediction
Ctsg	F2rl1	ppi_lr	ppi_prediction
Gdf5	Acvr1	ppi_lr	ppi_prediction
Ccl1	Ccr1	ppi_lr	ppi_prediction
Gstp2	Il7r	ppi_lr	ppi_prediction
Ccl4	Ccr3	ppi_lr	ppi_prediction
Gdf5	Acvr2b	ppi_lr	ppi_prediction
Fgf2	Cd44	ppi_lr	ppi_prediction
Vegfa	Ptprb	ppi_lr	ppi_prediction
Fgf3	Fgfr3	ppi_lr	ppi_prediction
Fgf3	Fgfr4	ppi_lr	ppi_prediction
Ccl25	Ccr10	ppi_lr	ppi_prediction
Trf	Il7r	ppi_lr	ppi_prediction
Il4	Il13ra2	ppi_lr	ppi_prediction
A2m	Tnfrsf14	ppi_lr	ppi_prediction
Cxcl13	Ccr10	ppi_lr	ppi_prediction
Pf4	Cxcr3	ppi_lr	ppi_prediction
Cxcl13	Cxcr3	ppi_lr	ppi_prediction
Npy	Mc4r	ppi_lr	ppi_prediction
Plau	Igf2r	ppi_lr	ppi_prediction
Bdnf	Sort1	ppi_lr	ppi_prediction
Lrpap1	Sort1	ppi_lr	ppi_prediction
Nts	Sort1	ppi_lr	ppi_prediction
Saa1	Fpr1	ppi_lr	ppi_prediction
Plg	F3	ppi_lr	ppi_prediction
Calm1	Oprm1	ppi_lr	ppi_prediction
Cyr61	Itgb5	ppi_lr	ppi_prediction
Lrpap1	Sorl1	ppi_lr	ppi_prediction
Inhba	Tgfbr3	ppi_lr	ppi_prediction
Calm1	Adcyap1r1	ppi_lr	ppi_prediction
Calm1	Sctr	ppi_lr	ppi_prediction
Calm1	Gp6	ppi_lr	ppi_prediction
Calm1	Glp1r	ppi_lr	ppi_prediction
Calm1	Pth2r	ppi_lr	ppi_prediction
Calm1	Grm4	ppi_lr	ppi_prediction
Calm1	Vipr1	ppi_lr	ppi_prediction
Apoe	Scarb1	ppi_lr	ppi_prediction
Cyr61	Itgav	ppi_lr	ppi_prediction
Vegfa	Ephb2	ppi_lr	ppi_prediction
Vegfa	Ptprz1	ppi_lr	ppi_prediction
Vegfa	Gpc1	ppi_lr	ppi_prediction
Plg	F2r	ppi_lr	ppi_prediction
C3	C5ar2	ppi_lr	ppi_prediction
Lrpap1	Lrp8	ppi_lr	ppi_prediction
Gcg	Gipr	ppi_lr	ppi_prediction
Lrpap1	Vldlr	ppi_lr	ppi_prediction
Adcyap1	Sctr	ppi_lr	ppi_prediction
F2	Gp1ba	ppi_lr	ppi_prediction
F2	Thbd	ppi_lr	ppi_prediction
F2	Gp5	ppi_lr	ppi_prediction
Kng1	Gp1ba	ppi_lr	ppi_prediction
Tnfsf13	Tnfrsf14	ppi_lr	ppi_prediction
Nppa	Npr2	ppi_lr	ppi_prediction
Edn3	Ednra	ppi_lr	ppi_prediction
Calm1	Pth1r	ppi_lr	ppi_prediction
Proc	Thbd	ppi_lr	ppi_prediction
Npy	Npffr2	ppi_lr	ppi_prediction
Slit1	Mtnr1a	ppi_lr	ppi_prediction
Lrrc4	Ntng1	ppi_lr	ppi_prediction
Hcrt	Npffr2	ppi_lr	ppi_prediction
a	Mc2r	ppi_lr	ppi_prediction
Inhbb	Acvr1c	ppi_lr	ppi_prediction
Cort	Cxcr6	ppi_lr	ppi_prediction
Cort	Galr2	ppi_lr	ppi_prediction
Cort	Galr3	ppi_lr	ppi_prediction
Cort	Htr1a	ppi_lr	ppi_prediction
Cort	Fpr1	ppi_lr	ppi_prediction
Cort	C5ar1	ppi_lr	ppi_prediction
Cort	Cxcr1	ppi_lr	ppi_prediction
Cort	Cxcr2	ppi_lr	ppi_prediction
Cort	Fpr2	ppi_lr	ppi_prediction
Cort	Ackr3	ppi_lr	ppi_prediction
Cort	Npy1r	ppi_lr	ppi_prediction
Cort	Htr1d	ppi_lr	ppi_prediction
Cort	Htr1b	ppi_lr	ppi_prediction
Cort	Bdkrb2	ppi_lr	ppi_prediction
Cort	Htr1f	ppi_lr	ppi_prediction
Cort	Ccr1	ppi_lr	ppi_prediction
Cort	Ccr7	ppi_lr	ppi_prediction
Cort	Cxcr5	ppi_lr	ppi_prediction
Cort	Oprm1	ppi_lr	ppi_prediction
Cort	Aplnr	ppi_lr	ppi_prediction
Cort	Oprd1	ppi_lr	ppi_prediction
Cort	Oprk1	ppi_lr	ppi_prediction
Cort	Oprl1	ppi_lr	ppi_prediction
Cort	Ccr2	ppi_lr	ppi_prediction
Cort	Ccr10	ppi_lr	ppi_prediction
Cort	Bdkrb1	ppi_lr	ppi_prediction
Cort	Galr1	ppi_lr	ppi_prediction
Cort	Htr5a	ppi_lr	ppi_prediction
Cort	Mtnr1a	ppi_lr	ppi_prediction
Cort	Npbwr1	ppi_lr	ppi_prediction
Cort	Npy2r	ppi_lr	ppi_prediction
Cort	Mtnr1b	ppi_lr	ppi_prediction
Cort	Cxcr3	ppi_lr	ppi_prediction
Cort	Agtr2	ppi_lr	ppi_prediction
Cort	Npy4r	ppi_lr	ppi_prediction
Cort	Ccr3	ppi_lr	ppi_prediction
Cort	Ccr4	ppi_lr	ppi_prediction
Cort	Ccr5	ppi_lr	ppi_prediction
Cort	Ccr6	ppi_lr	ppi_prediction
Cort	Ccr8	ppi_lr	ppi_prediction
Cort	Ccr9	ppi_lr	ppi_prediction
Cort	Cxcr4	ppi_lr	ppi_prediction
Cort	Grm4	ppi_lr	ppi_prediction
Cort	P2ry14	ppi_lr	ppi_prediction
Cort	Npy5r	ppi_lr	ppi_prediction
Cort	C3ar1	ppi_lr	ppi_prediction
Cort	Rxfp4	ppi_lr	ppi_prediction
Cort	Lpar1	ppi_lr	ppi_prediction
Cort	Mchr1	ppi_lr	ppi_prediction
Cort	Nmur2	ppi_lr	ppi_prediction
Cort	Hrh4	ppi_lr	ppi_prediction
Cort	Nmur1	ppi_lr	ppi_prediction
Cort	Lpar2	ppi_lr	ppi_prediction
Cort	Rxfp3	ppi_lr	ppi_prediction
Cort	Hrh3	ppi_lr	ppi_prediction
Cort	Ptgdr2	ppi_lr	ppi_prediction
Lefty2	Acvr2a	ppi_lr	ppi_prediction
Lefty2	Acvr1b	ppi_lr	ppi_prediction
Lefty2	Acvr1c	ppi_lr	ppi_prediction
Agrn	Itgav	ppi_lr	ppi_prediction
Agrn	Lrp2	ppi_lr	ppi_prediction
Agrn	Lrp1	ppi_lr	ppi_prediction
Agrn	Ptprs	ppi_lr	ppi_prediction
Agrn	Lrp8	ppi_lr	ppi_prediction
Dll1	Mtnr1a	ppi_lr	ppi_prediction
Ccl21a	Galr2	ppi_lr	ppi_prediction
Ccl21a	Galr3	ppi_lr	ppi_prediction
Ccl21a	Htr1a	ppi_lr	ppi_prediction
Ccl21a	Fpr1	ppi_lr	ppi_prediction
Ccl21a	C5ar1	ppi_lr	ppi_prediction
Ccl21a	Cxcr1	ppi_lr	ppi_prediction
Ccl21a	Cxcr2	ppi_lr	ppi_prediction
Ccl21a	Fpr2	ppi_lr	ppi_prediction
Ccl21a	Ackr3	ppi_lr	ppi_prediction
Ccl21a	Npy1r	ppi_lr	ppi_prediction
Ccl21a	Htr1d	ppi_lr	ppi_prediction
Ccl21a	Htr1b	ppi_lr	ppi_prediction
Ccl21a	Bdkrb2	ppi_lr	ppi_prediction
Ccl21a	Sstr1	ppi_lr	ppi_prediction
Ccl21a	Sstr2	ppi_lr	ppi_prediction
Ccl21a	Htr1f	ppi_lr	ppi_prediction
Ccl21a	Sstr4	ppi_lr	ppi_prediction
Ccl21a	Ccr1	ppi_lr	ppi_prediction
Ccl21a	Cxcr5	ppi_lr	ppi_prediction
Ccl21a	Sstr3	ppi_lr	ppi_prediction
Ccl21a	Sstr5	ppi_lr	ppi_prediction
Ccl21a	Oprm1	ppi_lr	ppi_prediction
Ccl21a	Aplnr	ppi_lr	ppi_prediction
Ccl21a	Oprd1	ppi_lr	ppi_prediction
Ccl21a	Oprk1	ppi_lr	ppi_prediction
Ccl21a	Oprl1	ppi_lr	ppi_prediction
Ccl21a	Ccr2	ppi_lr	ppi_prediction
Ccl21a	Ccr10	ppi_lr	ppi_prediction
Ccl21a	Bdkrb1	ppi_lr	ppi_prediction
Ccl21a	Galr1	ppi_lr	ppi_prediction
Ccl21a	Htr5a	ppi_lr	ppi_prediction
Ccl21a	Mtnr1a	ppi_lr	ppi_prediction
Ccl21a	Npbwr1	ppi_lr	ppi_prediction
Ccl21a	Npy2r	ppi_lr	ppi_prediction
Ccl21a	Mtnr1b	ppi_lr	ppi_prediction
Ccl21a	Agtr2	ppi_lr	ppi_prediction
Ccl21a	Npy4r	ppi_lr	ppi_prediction
Ccl21a	Ccr3	ppi_lr	ppi_prediction
Ccl21a	Ccr4	ppi_lr	ppi_prediction
Ccl21a	Ccr5	ppi_lr	ppi_prediction
